Target Image: blackhole2
Final Best MSE: 1073.98
--------------------------------
Evolutionary History for blackhole2
=========================================
Generation 0 | MSE: 3845.80 | Genotype: 
Layer 5 -> c: -0.317-1.000i | Offset X/Y: -0.61/0.24 | Zoom: 0.51
Layer 6 -> c: 0.066+1.000i | Offset X/Y: 0.52/-0.77 | Zoom: 0.10

Generation 33 | MSE: 1780.42 | Genotype: 
Layer 1 -> c: -0.745+0.387i | Offset X/Y: 0.14/0.26 | Zoom: 1.04
Layer 2 -> c: -0.703-1.000i | Offset X/Y: -1.06/0.54 | Zoom: 0.60
Layer 3 -> c: -1.000+0.132i | Offset X/Y: 0.31/0.67 | Zoom: 0.47
Layer 4 -> c: 0.916+0.110i | Offset X/Y: 0.39/-0.93 | Zoom: 1.16
Layer 5 -> c: -0.317-1.000i | Offset X/Y: -0.61/0.24 | Zoom: 0.51
Layer 6 -> c: 0.066+1.000i | Offset X/Y: 0.52/-0.77 | Zoom: 0.10

Generation 34 | MSE: 1780.42 | Genotype: 
Layer 1 -> c: -0.745+0.387i | Offset X/Y: 0.14/0.26 | Zoom: 1.04
Layer 2 -> c: -0.703-1.000i | Offset X/Y: -1.06/0.54 | Zoom: 0.60
Layer 3 -> c: -1.000+0.132i | Offset X/Y: 0.31/0.67 | Zoom: 0.47
Layer 4 -> c: 0.916+0.110i | Offset X/Y: 0.39/-0.93 | Zoom: 1.16
Layer 5 -> c: -0.317-1.000i | Offset X/Y: -0.61/0.24 | Zoom: 0.51
Layer 6 -> c: 0.066+1.000i | Offset X/Y: 0.52/-0.77 | Zoom: 0.10

Generation 35 | MSE: 1780.42 | Genotype: 
Layer 1 -> c: -0.745+0.387i | Offset X/Y: 0.14/0.26 | Zoom: 1.04
Layer 2 -> c: -0.703-1.000i | Offset X/Y: -1.06/0.54 | Zoom: 0.60
Layer 3 -> c: -1.000+0.132i | Offset X/Y: 0.31/0.67 | Zoom: 0.47
Layer 4 -> c: 0.916+0.110i | Offset X/Y: 0.39/-0.93 | Zoom: 1.16
Layer 5 -> c: -0.317-1.000i | Offset X/Y: -0.61/0.24 | Zoom: 0.51
Layer 6 -> c: 0.066+1.000i | Offset X/Y: 0.52/-0.77 | Zoom: 0.10

Generation 36 | MSE: 1768.18 | Genotype: 
Layer 1 -> c: -0.371+0.539i | Offset X/Y: 0.34/0.24 | Zoom: 0.10
Layer 2 -> c: -0.869-0.794i | Offset X/Y: -1.06/0.54 | Zoom: 0.43
Layer 3 -> c: -0.695-0.092i | Offset X/Y: 0.28/1.08 | Zoom: 0.48
Layer 4 -> c: 1.000+0.324i | Offset X/Y: 0.57/-1.14 | Zoom: 1.72
Layer 5 -> c: -0.235-1.000i | Offset X/Y: -0.63/0.74 | Zoom: 0.65
Layer 6 -> c: 0.030+1.000i | Offset X/Y: 0.84/0.81 | Zoom: 0.47

Generation 37 | MSE: 1768.18 | Genotype: 
Layer 1 -> c: -0.371+0.539i | Offset X/Y: 0.34/0.24 | Zoom: 0.10
Layer 2 -> c: -0.869-0.794i | Offset X/Y: -1.06/0.54 | Zoom: 0.43
Layer 3 -> c: -0.695-0.092i | Offset X/Y: 0.28/1.08 | Zoom: 0.48
Layer 4 -> c: 1.000+0.324i | Offset X/Y: 0.57/-1.14 | Zoom: 1.72
Layer 5 -> c: -0.235-1.000i | Offset X/Y: -0.63/0.74 | Zoom: 0.65
Layer 6 -> c: 0.030+1.000i | Offset X/Y: 0.84/0.81 | Zoom: 0.47

Generation 38 | MSE: 1729.69 | Genotype: 
Layer 1 -> c: -0.098-1.000i | Offset X/Y: -0.16/0.11 | Zoom: 0.47
Layer 2 -> c: -1.000-1.000i | Offset X/Y: -0.93/0.27 | Zoom: 0.50
Layer 3 -> c: -0.981+1.000i | Offset X/Y: 0.79/0.43 | Zoom: 0.49
Layer 4 -> c: 1.000-0.127i | Offset X/Y: 0.09/-0.88 | Zoom: 1.48
Layer 5 -> c: -0.081-1.000i | Offset X/Y: -0.80/1.19 | Zoom: 0.45
