Target Image: butterfly_nebula
Final Best MSE: 744.45
--------------------------------
Evolutionary History for butterfly_nebula
=========================================
Generation 0 | MSE: 6546.82 | Genotype: 
Layer 2 -> c: -0.035+0.027i | Offset X/Y: -0.59/-0.13 | Zoom: 0.10
Layer 3 -> c: 0.403-0.496i | Offset X/Y: 0.47/-1.14 | Zoom: 0.92
Layer 4 -> c: 0.254-0.830i | Offset X/Y: -0.34/-0.54 | Zoom: 0.13
Layer 5 -> c: 0.816-0.508i | Offset X/Y: -1.15/0.49 | Zoom: 0.45
Layer 6 -> c: -0.818-0.746i | Offset X/Y: -0.79/1.33 | Zoom: 0.27
Layer 7 -> c: -0.698+0.558i | Offset X/Y: 0.72/-0.71 | Zoom: 0.30
Layer 8 -> c: -0.903+0.061i | Offset X/Y: -0.81/-1.02 | Zoom: 0.67

Generation 20 | MSE: 1602.99 | Genotype: 
Layer 1 -> c: 0.202+0.668i | Offset X/Y: -0.48/-0.46 | Zoom: 0.10
Layer 2 -> c: -0.204+1.000i | Offset X/Y: -0.85/-0.57 | Zoom: 0.23
Layer 3 -> c: 0.556+0.018i | Offset X/Y: -0.14/-1.57 | Zoom: 0.10
Layer 4 -> c: -0.269+1.000i | Offset X/Y: 0.09/0.12 | Zoom: 0.17
Layer 5 -> c: -0.867+1.000i | Offset X/Y: -1.38/1.34 | Zoom: 0.39
Layer 6 -> c: 0.548-1.000i | Offset X/Y: 0.19/0.30 | Zoom: 0.10
Layer 7 -> c: 0.601+0.107i | Offset X/Y: 0.72/-0.82 | Zoom: 0.46
Layer 8 -> c: -0.880+0.934i | Offset X/Y: -0.36/0.54 | Zoom: 0.62

Generation 21 | MSE: 1534.57 | Genotype: 
Layer 1 -> c: -0.804-0.407i | Offset X/Y: -2.33/0.64 | Zoom: 0.10
Layer 2 -> c: -0.447+0.348i | Offset X/Y: -0.76/-0.70 | Zoom: 0.17
Layer 3 -> c: -0.611+0.766i | Offset X/Y: 0.11/-0.12 | Zoom: 0.72
Layer 4 -> c: -0.395+0.906i | Offset X/Y: -0.35/0.18 | Zoom: 0.68
Layer 5 -> c: -0.392-0.787i | Offset X/Y: -1.33/-0.09 | Zoom: 0.10
Layer 6 -> c: -0.229-0.260i | Offset X/Y: -0.79/-0.08 | Zoom: 0.49
Layer 7 -> c: -0.545+0.050i | Offset X/Y: 1.72/-1.09 | Zoom: 0.55
Layer 8 -> c: 0.141+0.526i | Offset X/Y: -0.17/0.75 | Zoom: 0.10

Generation 22 | MSE: 1534.57 | Genotype: 
Layer 1 -> c: -0.804-0.407i | Offset X/Y: -2.33/0.64 | Zoom: 0.10
Layer 2 -> c: -0.447+0.348i | Offset X/Y: -0.76/-0.70 | Zoom: 0.17
Layer 3 -> c: -0.611+0.766i | Offset X/Y: 0.11/-0.12 | Zoom: 0.72
Layer 4 -> c: -0.395+0.906i | Offset X/Y: -0.35/0.18 | Zoom: 0.68
Layer 5 -> c: -0.392-0.787i | Offset X/Y: -1.33/-0.09 | Zoom: 0.10
Layer 6 -> c: -0.229-0.260i | Offset X/Y: -0.79/-0.08 | Zoom: 0.49
Layer 7 -> c: -0.545+0.050i | Offset X/Y: 1.72/-1.09 | Zoom: 0.55
Layer 8 -> c: 0.141+0.526i | Offset X/Y: -0.17/0.75 | Zoom: 0.10

Generation 23 | MSE: 1534.57 | Genotype: 
Layer 1 -> c: -0.804-0.407i | Offset X/Y: -2.33/0.64 | Zoom: 0.10
Layer 2 -> c: -0.447+0.348i | Offset X/Y: -0.76/-0.70 | Zoom: 0.17
Layer 3 -> c: -0.611+0.766i | Offset X/Y: 0.11/-0.12 | Zoom: 0.72
Layer 4 -> c: -0.395+0.906i | Offset X/Y: -0.35/0.18 | Zoom: 0.68
Layer 5 -> c: -0.392-0.787i | Offset X/Y: -1.33/-0.09 | Zoom: 0.10
Layer 6 -> c: -0.229-0.260i | Offset X/Y: -0.79/-0.08 | Zoom: 0.49
Layer 7 -> c: -0.545+0.050i | Offset X/Y: 1.72/-1.09 | Zoom: 0.55
Layer 8 -> c: 0.141+0.526i | Offset X/Y: -0.17/0.75 | Zoom: 0.10

Generation 24 | MSE: 1534.57 | Genotype: 
Layer 1 -> c: -0.804-0.407i | Offset X/Y: -2.33/0.64 | Zoom: 0.10
Layer 2 -> c: -0.447+0.348i | Offset X/Y: -0.76/-0.70 | Zoom: 0.17
Layer 3 -> c: -0.611+0.766i | Offset X/Y: 0.11/-0.12 | Zoom: 0.72
Layer 4 -> c: -0.395+0.906i | Offset X/Y: -0.35/0.18 | Zoom: 0.68
Layer 5 -> c: -0.392-0.787i | Offset X/Y: -1.33/-0.09 | Zoom: 0.10
Layer 6 -> c: -0.229-0.260i | Offset X/Y: -0.79/-0.08 | Zoom: 0.49
Layer 7 -> c: -0.545+0.050i | Offset X/Y: 1.72/-1.09 | Zoom: 0.55
Layer 8 -> c: 0.141+0.526i | Offset X/Y: -0.17/0.75 | Zoom: 0.10

Generation 25 | MSE: 1534.57 | Genotype: 
Layer 1 -> c: -0.804-0.407i | Offset X/Y: -2.33/0.64 | Zoom: 0.10
Layer 2 -> c: -0.447+0.348i | Offset X/Y: -0.76/-0.70 | Zoom: 0.17
Layer 3 -> c: -0.611+0.766i | Offset X/Y: 0.11/-0.12 | Zoom: 0.72
Layer 4 -> c: -0.395+0.906i | Offset X/Y: -0.35/0.18 | Zoom: 0.68
Layer 5 -> c: -0.392-0.787i | Offset X/Y: -1.33/-0.09 | Zoom: 0.10
Layer 6 -> c: -0.229-0.260i | Offset X/Y: -0.79/-0.08 | Zoom: 0.49
Layer 7 -> c: -0.545+0.050i | Offset X/Y: 1.72/-1.09 | Zoom: 0.55
Layer 8 -> c: 0.141+0.526i | Offset X/Y: -0.17/0.75 | Zoom: 0.10

Generation 26 | MSE: 1534.57 | Genotype: 
Layer 1 -> c: -0.804-0.407i | Offset X/Y: -2.33/0.64 | Zoom: 0.10
Layer 2 -> c: -0.447+0.348i | Offset X/Y: -0.76/-0.70 | Zoom: 0.17
Layer 3 -> c: -0.611+0.766i | Offset X/Y: 0.11/-0.12 | Zoom: 0.72
Layer 4 -> c: -0.395+0.906i | Offset X/Y: -0.35/0.18 | Zoom: 0.68
Layer 5 -> c: -0.392-0.787i | Offset X/Y: -1.33/-0.09 | Zoom: 0.10
Layer 6 -> c: -0.229-0.260i | Offset X/Y: -0.79/-0.08 | Zoom: 0.49
Layer 7 -> c: -0.545+0.050i | Offset X/Y: 1.72/-1.09 | Zoom: 0.55
Layer 8 -> c: 0.141+0.526i | Offset X/Y: -0.17/0.75 | Zoom: 0.10

Generation 27 | MSE: 1534.57 | Genotype: 
Layer 1 -> c: -0.804-0.407i | Offset X/Y: -2.33/0.64 | Zoom: 0.10
Layer 2 -> c: -0.447+0.348i | Offset X/Y: -0.76/-0.70 | Zoom: 0.17
Layer 3 -> c: -0.611+0.766i | Offset X/Y: 0.11/-0.12 | Zoom: 0.72
Layer 4 -> c: -0.395+0.906i | Offset X/Y: -0.35/0.18 | Zoom: 0.68
Layer 5 -> c: -0.392-0.787i | Offset X/Y: -1.33/-0.09 | Zoom: 0.10
Layer 6 -> c: -0.229-0.260i | Offset X/Y: -0.79/-0.08 | Zoom: 0.49
Layer 7 -> c: -0.545+0.050i | Offset X/Y: 1.72/-1.09 | Zoom: 0.55
Layer 8 -> c: 0.141+0.526i | Offset X/Y: -0.17/0.75 | Zoom: 0.10

Generation 28 | MSE: 1476.11 | Genotype: 
Layer 1 -> c: -1.000+0.818i | Offset X/Y: -0.58/0.52 | Zoom: 0.59
Layer 2 -> c: -1.000+0.300i | Offset X/Y: -1.47/-0.11 | Zoom: 0.10
Layer 3 -> c: -0.564+0.771i | Offset X/Y: 0.04/-1.53 | Zoom: 0.47
Layer 4 -> c: -0.691+0.774i | Offset X/Y: 0.18/-0.53 | Zoom: 0.61
