Target Image: skull
Final Best MSE: 3197.65
--------------------------------
Evolutionary History for skull
=========================================
Generation 0 | MSE: 8003.59 | Genotype: 
Layer 4 -> c: -0.751+0.530i | Offset X/Y: -1.01/-1.70 | Zoom: 0.27
Layer 5 -> c: 0.626-0.595i | Offset X/Y: -0.61/0.42 | Zoom: 0.86
Layer 6 -> c: -0.953-0.450i | Offset X/Y: -0.53/0.70 | Zoom: 0.25
Layer 7 -> c: -1.000-0.277i | Offset X/Y: -1.26/0.09 | Zoom: 1.98
Layer 8 -> c: -0.366+0.804i | Offset X/Y: 0.58/-1.50 | Zoom: 0.93

Generation 15 | MSE: 5763.55 | Genotype: 
Layer 1 -> c: 0.730+0.223i | Offset X/Y: -0.77/-0.12 | Zoom: 0.10
Layer 2 -> c: 0.461-0.934i | Offset X/Y: 0.58/1.82 | Zoom: 1.47
Layer 3 -> c: -0.673-0.147i | Offset X/Y: -1.09/1.22 | Zoom: 0.55
Layer 4 -> c: 0.766+0.838i | Offset X/Y: -0.25/-0.74 | Zoom: 0.69
Layer 5 -> c: -1.000-0.375i | Offset X/Y: -0.16/1.53 | Zoom: 0.10
Layer 6 -> c: -0.370-0.552i | Offset X/Y: -1.00/-0.43 | Zoom: 2.41
Layer 7 -> c: -0.367+0.061i | Offset X/Y: -0.85/0.43 | Zoom: 0.37
Layer 8 -> c: -0.519+0.804i | Offset X/Y: 0.27/0.34 | Zoom: 0.93

Generation 16 | MSE: 5673.93 | Genotype: 
Layer 1 -> c: 0.790-0.275i | Offset X/Y: 0.36/-0.03 | Zoom: 0.16
Layer 2 -> c: -0.963-0.318i | Offset X/Y: -1.08/0.50 | Zoom: 1.60
Layer 3 -> c: 1.000-0.302i | Offset X/Y: -0.57/0.12 | Zoom: 1.57
Layer 4 -> c: 0.254+1.000i | Offset X/Y: -0.31/-1.85 | Zoom: 0.36
Layer 5 -> c: 0.268-0.681i | Offset X/Y: -0.35/1.32 | Zoom: 0.44
Layer 6 -> c: -0.150-0.374i | Offset X/Y: -0.71/0.95 | Zoom: 0.56
Layer 7 -> c: -0.797+0.853i | Offset X/Y: -0.85/1.83 | Zoom: 0.47
Layer 8 -> c: -0.253+0.220i | Offset X/Y: 0.47/-0.98 | Zoom: 0.30

Generation 17 | MSE: 5673.93 | Genotype: 
Layer 1 -> c: 0.790-0.275i | Offset X/Y: 0.36/-0.03 | Zoom: 0.16
Layer 2 -> c: -0.963-0.318i | Offset X/Y: -1.08/0.50 | Zoom: 1.60
Layer 3 -> c: 1.000-0.302i | Offset X/Y: -0.57/0.12 | Zoom: 1.57
Layer 4 -> c: 0.254+1.000i | Offset X/Y: -0.31/-1.85 | Zoom: 0.36
Layer 5 -> c: 0.268-0.681i | Offset X/Y: -0.35/1.32 | Zoom: 0.44
Layer 6 -> c: -0.150-0.374i | Offset X/Y: -0.71/0.95 | Zoom: 0.56
Layer 7 -> c: -0.797+0.853i | Offset X/Y: -0.85/1.83 | Zoom: 0.47
Layer 8 -> c: -0.253+0.220i | Offset X/Y: 0.47/-0.98 | Zoom: 0.30

Generation 18 | MSE: 5673.93 | Genotype: 
Layer 1 -> c: 0.790-0.275i | Offset X/Y: 0.36/-0.03 | Zoom: 0.16
Layer 2 -> c: -0.963-0.318i | Offset X/Y: -1.08/0.50 | Zoom: 1.60
Layer 3 -> c: 1.000-0.302i | Offset X/Y: -0.57/0.12 | Zoom: 1.57
Layer 4 -> c: 0.254+1.000i | Offset X/Y: -0.31/-1.85 | Zoom: 0.36
Layer 5 -> c: 0.268-0.681i | Offset X/Y: -0.35/1.32 | Zoom: 0.44
Layer 6 -> c: -0.150-0.374i | Offset X/Y: -0.71/0.95 | Zoom: 0.56
Layer 7 -> c: -0.797+0.853i | Offset X/Y: -0.85/1.83 | Zoom: 0.47
Layer 8 -> c: -0.253+0.220i | Offset X/Y: 0.47/-0.98 | Zoom: 0.30

Generation 19 | MSE: 4976.91 | Genotype: 
Layer 1 -> c: -0.659-0.216i | Offset X/Y: -1.31/0.09 | Zoom: 0.10
Layer 2 -> c: 1.000+0.164i | Offset X/Y: -1.35/0.98 | Zoom: 0.50
Layer 3 -> c: 0.934-0.130i | Offset X/Y: -0.19/1.78 | Zoom: 0.97
Layer 4 -> c: 0.484+0.114i | Offset X/Y: -0.00/-0.13 | Zoom: 1.28
Layer 5 -> c: 0.563-0.295i | Offset X/Y: -0.10/-1.72 | Zoom: 0.95
Layer 6 -> c: 0.317-0.694i | Offset X/Y: -1.07/0.06 | Zoom: 0.10
Layer 7 -> c: -0.195+0.218i | Offset X/Y: -1.16/1.08 | Zoom: 0.10
Layer 8 -> c: 0.194+0.341i | Offset X/Y: 1.30/1.51 | Zoom: 1.71

Generation 20 | MSE: 4976.91 | Genotype: 
Layer 1 -> c: -0.659-0.216i | Offset X/Y: -1.31/0.09 | Zoom: 0.10
Layer 2 -> c: 1.000+0.164i | Offset X/Y: -1.35/0.98 | Zoom: 0.50
Layer 3 -> c: 0.934-0.130i | Offset X/Y: -0.19/1.78 | Zoom: 0.97
Layer 4 -> c: 0.484+0.114i | Offset X/Y: -0.00/-0.13 | Zoom: 1.28
Layer 5 -> c: 0.563-0.295i | Offset X/Y: -0.10/-1.72 | Zoom: 0.95
Layer 6 -> c: 0.317-0.694i | Offset X/Y: -1.07/0.06 | Zoom: 0.10
Layer 7 -> c: -0.195+0.218i | Offset X/Y: -1.16/1.08 | Zoom: 0.10
Layer 8 -> c: 0.194+0.341i | Offset X/Y: 1.30/1.51 | Zoom: 1.71

Generation 21 | MSE: 4976.91 | Genotype: 
Layer 1 -> c: -0.659-0.216i | Offset X/Y: -1.31/0.09 | Zoom: 0.10
Layer 2 -> c: 1.000+0.164i | Offset X/Y: -1.35/0.98 | Zoom: 0.50
Layer 3 -> c: 0.934-0.130i | Offset X/Y: -0.19/1.78 | Zoom: 0.97
Layer 4 -> c: 0.484+0.114i | Offset X/Y: -0.00/-0.13 | Zoom: 1.28
Layer 5 -> c: 0.563-0.295i | Offset X/Y: -0.10/-1.72 | Zoom: 0.95
Layer 6 -> c: 0.317-0.694i | Offset X/Y: -1.07/0.06 | Zoom: 0.10
Layer 7 -> c: -0.195+0.218i | Offset X/Y: -1.16/1.08 | Zoom: 0.10
Layer 8 -> c: 0.194+0.341i | Offset X/Y: 1.30/1.51 | Zoom: 1.71

Generation 22 | MSE: 4976.91 | Genotype: 
Layer 1 -> c: -0.659-0.216i | Offset X/Y: -1.31/0.09 | Zoom: 0.10
Layer 2 -> c: 1.000+0.164i | Offset X/Y: -1.35/0.98 | Zoom: 0.50
Layer 3 -> c: 0.934-0.130i | Offset X/Y: -0.19/1.78 | Zoom: 0.97
Layer 4 -> c: 0.484+0.114i | Offset X/Y: -0.00/-0.13 | Zoom: 1.28
Layer 5 -> c: 0.563-0.295i | Offset X/Y: -0.10/-1.72 | Zoom: 0.95
Layer 6 -> c: 0.317-0.694i | Offset X/Y: -1.07/0.06 | Zoom: 0.10
Layer 7 -> c: -0.195+0.218i | Offset X/Y: -1.16/1.08 | Zoom: 0.10
Layer 8 -> c: 0.194+0.341i | Offset X/Y: 1.30/1.51 | Zoom: 1.71

Generation 23 | MSE: 4976.91 | Genotype: 
Layer 1 -> c: -0.659-0.216i | Offset X/Y: -1.31/0.09 | Zoom: 0.10
Layer 2 -> c: 1.000+0.164i | Offset X/Y: -1.35/0.98 | Zoom: 0.50
Layer 3 -> c: 0.934-0.130i | Offset X/Y: -0.19/1.78 | Zoom: 0.97
Layer 4 -> c: 0.484+0.114i | Offset X/Y: -0.00/-0.13 | Zoom: 1.28
Layer 5 -> c: 0.563-0.295i | Offset X/Y: -0.10/-1.72 | Zoom: 0.95
Layer 6 -> c: 0.317-0.694i | Offset X/Y: -1.07/0.06 | Zoom: 0.10
Layer 7 -> c: -0.195+0.218i | Offset X/Y: -1.16/1.08 | Zoom: 0.10
Layer 8 -> c: 0.194+0.341i | Offset X/Y: 1.30/1.51 | Zoom: 1.71

Generation 24 | MSE: 4976.91 | Genotype: 
Layer 1 -> c: -0.659-0.216i | Offset X/Y: -1.31/0.09 | Zoom: 0.10
Layer 2 -> c: 1.000+0.164i | Offset X/Y: -1.35/0.98 | Zoom: 0.50
Layer 3 -> c: 0.934-0.130i | Offset X/Y: -0.19/1.78 | Zoom: 0.97
Layer 4 -> c: 0.484+0.114i | Offset X/Y: -0.00/-0.13 | Zoom: 1.28
Layer 5 -> c: 0.563-0.295i | Offset X/Y: -0.10/-1.72 | Zoom: 0.95
Layer 6 -> c: 0.317-0.694i | Offset X/Y: -1.07/0.06 | Zoom: 0.10
Layer 7 -> c: -0.195+0.218i | Offset X/Y: -1.16/1.08 | Zoom: 0.10
Layer 8 -> c: 0.194+0.341i | Offset X/Y: 1.30/1.51 | Zoom: 1.71

Generation 25 | MSE: 4976.91 | Genotype: 
Layer 1 -> c: -0.659-0.216i | Offset X/Y: -1.31/0.09 | Zoom: 0.10
Layer 2 -> c: 1.000+0.164i | Offset X/Y: -1.35/0.98 | Zoom: 0.50
Layer 3 -> c: 0.934-0.130i | Offset X/Y: -0.19/1.78 | Zoom: 0.97
Layer 4 -> c: 0.484+0.114i | Offset X/Y: -0.00/-0.13 | Zoom: 1.28
Layer 5 -> c: 0.563-0.295i | Offset X/Y: -0.10/-1.72 | Zoom: 0.95
Layer 6 -> c: 0.317-0.694i | Offset X/Y: -1.07/0.06 | Zoom: 0.10
Layer 7 -> c: -0.195+0.218i | Offset X/Y: -1.16/1.08 | Zoom: 0.10
Layer 8 -> c: 0.194+0.341i | Offset X/Y: 1.30/1.51 | Zoom: 1.71

Generation 26 | MSE: 4976.91 | Genotype: 
Layer 1 -> c: -0.659-0.216i | Offset X/Y: -1.31/0.09 | Zoom: 0.10
Layer 2 -> c: 1.000+0.164i | Offset X/Y: -1.35/0.98 | Zoom: 0.50
Layer 3 -> c: 0.934-0.130i | Offset X/Y: -0.19/1.78 | Zoom: 0.97
Layer 4 -> c: 0.484+0.114i | Offset X/Y: -0.00/-0.13 | Zoom: 1.28
Layer 5 -> c: 0.563-0.295i | Offset X/Y: -0.10/-1.72 | Zoom: 0.95
Layer 6 -> c: 0.317-0.694i | Offset X/Y: -1.07/0.06 | Zoom: 0.10
Layer 7 -> c: -0.195+0.218i | Offset X/Y: -1.16/1.08 | Zoom: 0.10
Layer 8 -> c: 0.194+0.341i | Offset X/Y: 1.30/1.51 | Zoom: 1.71

Generation 27 | MSE: 4976.91 | Genotype: 
Layer 1 -> c: -0.659-0.216i | Offset X/Y: -1.31/0.09 | Zoom: 0.10
Layer 2 -> c: 1.000+0.164i | Offset X/Y: -1.35/0.98 | Zoom: 0.50
Layer 3 -> c: 0.934-0.130i | Offset X/Y: -0.19/1.78 | Zoom: 0.97
Layer 4 -> c: 0.484+0.114i | Offset X/Y: -0.00/-0.13 | Zoom: 1.28
Layer 5 -> c: 0.563-0.295i | Offset X/Y: -0.10/-1.72 | Zoom: 0.95
Layer 6 -> c: 0.317-0.694i | Offset X/Y: -1.07/0.06 | Zoom: 0.10
Layer 7 -> c: -0.195+0.218i | Offset X/Y: -1.16/1.08 | Zoom: 0.10
Layer 8 -> c: 0.194+0.341i | Offset X/Y: 1.30/1.51 | Zoom: 1.71

Generation 28 | MSE: 4976.91 | Genotype: 
Layer 1 -> c: -0.659-0.216i | Offset X/Y: -1.31/0.09 | Zoom: 0.10
Layer 2 -> c: 1.000+0.164i | Offset X/Y: -1.35/0.98 | Zoom: 0.50
Layer 3 -> c: 0.934-0.130i | Offset X/Y: -0.19/1.78 | Zoom: 0.97
Layer 4 -> c: 0.484+0.114i | Offset X/Y: -0.00/-0.13 | Zoom: 1.28
Layer 5 -> c: 0.563-0.295i | Offset X/Y: -0.10/-1.72 | Zoom: 0.95
Layer 6 -> c: 0.317-0.694i | Offset X/Y: -1.07/0.06 | Zoom: 0.10
Layer 7 -> c: -0.195+0.218i | Offset X/Y: -1.16/1.08 | Zoom: 0.10
Layer 8 -> c: 0.194+0.341i | Offset X/Y: 1.30/1.51 | Zoom: 1.71

Generation 29 | MSE: 4976.91 | Genotype: 
Layer 1 -> c: -0.659-0.216i | Offset X/Y: -1.31/0.09 | Zoom: 0.10
Layer 2 -> c: 1.000+0.164i | Offset X/Y: -1.35/0.98 | Zoom: 0.50
Layer 3 -> c: 0.934-0.130i | Offset X/Y: -0.19/1.78 | Zoom: 0.97
Layer 4 -> c: 0.484+0.114i | Offset X/Y: -0.00/-0.13 | Zoom: 1.28
Layer 5 -> c: 0.563-0.295i | Offset X/Y: -0.10/-1.72 | Zoom: 0.95
Layer 6 -> c: 0.317-0.694i | Offset X/Y: -1.07/0.06 | Zoom: 0.10
Layer 7 -> c: -0.195+0.218i | Offset X/Y: -1.16/1.08 | Zoom: 0.10
Layer 8 -> c: 0.194+0.341i | Offset X/Y: 1.30/1.51 | Zoom: 1.71

Generation 30 | MSE: 4976.91 | Genotype: 
Layer 1 -> c: -0.659-0.216i | Offset X/Y: -1.31/0.09 | Zoom: 0.10
Layer 2 -> c: 1.000+0.164i | Offset X/Y: -1.35/0.98 | Zoom: 0.50
Layer 3 -> c: 0.934-0.130i | Offset X/Y: -0.19/1.78 | Zoom: 0.97
Layer 4 -> c: 0.484+0.114i | Offset X/Y: -0.00/-0.13 | Zoom: 1.28
Layer 5 -> c: 0.563-0.295i | Offset X/Y: -0.10/-1.72 | Zoom: 0.95
Layer 6 -> c: 0.317-0.694i | Offset X/Y: -1.07/0.06 | Zoom: 0.10
Layer 7 -> c: -0.195+0.218i | Offset X/Y: -1.16/1.08 | Zoom: 0.10
Layer 8 -> c: 0.194+0.341i | Offset X/Y: 1.30/1.51 | Zoom: 1.71

Generation 31 | MSE: 4976.91 | Genotype: 
Layer 1 -> c: -0.659-0.216i | Offset X/Y: -1.31/0.09 | Zoom: 0.10
Layer 2 -> c: 1.000+0.164i | Offset X/Y: -1.35/0.98 | Zoom: 0.50
Layer 3 -> c: 0.934-0.130i | Offset X/Y: -0.19/1.78 | Zoom: 0.97
Layer 4 -> c: 0.484+0.114i | Offset X/Y: -0.00/-0.13 | Zoom: 1.28
Layer 5 -> c: 0.563-0.295i | Offset X/Y: -0.10/-1.72 | Zoom: 0.95
Layer 6 -> c: 0.317-0.694i | Offset X/Y: -1.07/0.06 | Zoom: 0.10
Layer 7 -> c: -0.195+0.218i | Offset X/Y: -1.16/1.08 | Zoom: 0.10
Layer 8 -> c: 0.194+0.341i | Offset X/Y: 1.30/1.51 | Zoom: 1.71

Generation 32 | MSE: 4976.91 | Genotype: 
Layer 1 -> c: -0.659-0.216i | Offset X/Y: -1.31/0.09 | Zoom: 0.10
Layer 2 -> c: 1.000+0.164i | Offset X/Y: -1.35/0.98 | Zoom: 0.50
Layer 3 -> c: 0.934-0.130i | Offset X/Y: -0.19/1.78 | Zoom: 0.97
Layer 4 -> c: 0.484+0.114i | Offset X/Y: -0.00/-0.13 | Zoom: 1.28
Layer 5 -> c: 0.563-0.295i | Offset X/Y: -0.10/-1.72 | Zoom: 0.95
Layer 6 -> c: 0.317-0.694i | Offset X/Y: -1.07/0.06 | Zoom: 0.10
Layer 7 -> c: -0.195+0.218i | Offset X/Y: -1.16/1.08 | Zoom: 0.10
Layer 8 -> c: 0.194+0.341i | Offset X/Y: 1.30/1.51 | Zoom: 1.71

Generation 33 | MSE: 4976.91 | Genotype: 
Layer 1 -> c: -0.659-0.216i | Offset X/Y: -1.31/0.09 | Zoom: 0.10
