Target Image: IS-blackhole
Final Best MSE: 1354.54
--------------------------------
Evolutionary History for IS-blackhole
=========================================
Generation 0 | MSE: 8047.74 | Genotype: 
Layer 1 -> c: -0.145+1.000i | Offset X/Y: -1.42/1.47 | Zoom: 0.10
Layer 2 -> c: 1.000+0.185i | Offset X/Y: -1.00/2.48 | Zoom: 0.35
Layer 3 -> c: 0.195+1.000i | Offset X/Y: -0.32/0.09 | Zoom: 0.10
Layer 4 -> c: -0.168-0.413i | Offset X/Y: -1.18/0.04 | Zoom: 1.50
Layer 5 -> c: 0.871-0.843i | Offset X/Y: -1.70/0.98 | Zoom: 0.36
Layer 6 -> c: -1.000+0.320i | Offset X/Y: 1.34/0.34 | Zoom: 0.10
Layer 7 -> c: 0.702-1.000i | Offset X/Y: -1.01/0.29 | Zoom: 1.32
Layer 8 -> c: -0.958-0.770i | Offset X/Y: -0.48/-0.56 | Zoom: 0.25

Generation 32 | MSE: 3036.99 | Genotype: 
Layer 1 -> c: -0.145+1.000i | Offset X/Y: -1.42/1.47 | Zoom: 0.10
Layer 2 -> c: 1.000+0.185i | Offset X/Y: -1.00/2.48 | Zoom: 0.35
Layer 3 -> c: 0.195+1.000i | Offset X/Y: -0.32/0.09 | Zoom: 0.10
Layer 4 -> c: -0.168-0.413i | Offset X/Y: -1.18/0.04 | Zoom: 1.50
Layer 5 -> c: 0.871-0.843i | Offset X/Y: -1.70/0.98 | Zoom: 0.36
Layer 6 -> c: -1.000+0.320i | Offset X/Y: 1.34/0.34 | Zoom: 0.10
Layer 7 -> c: 0.702-1.000i | Offset X/Y: -1.01/0.29 | Zoom: 1.32
Layer 8 -> c: -0.958-0.770i | Offset X/Y: -0.48/-0.56 | Zoom: 0.25

Generation 33 | MSE: 3036.99 | Genotype: 
Layer 1 -> c: -0.145+1.000i | Offset X/Y: -1.42/1.47 | Zoom: 0.10
