Target Image: purple_lightning
Final Best MSE: 1152.86
--------------------------------
Evolutionary History for purple_lightning
=========================================
Generation 0 | MSE: 6319.32 | Genotype: 
Layer 7 -> c: -0.193-1.000i | Offset X/Y: 0.85/-0.24 | Zoom: 0.84
Layer 8 -> c: -0.394-0.780i | Offset X/Y: 1.09/-0.77 | Zoom: 0.49

Generation 27 | MSE: 2116.57 | Genotype: 
Layer 1 -> c: -0.575-0.831i | Offset X/Y: -1.37/0.74 | Zoom: 1.71
Layer 2 -> c: -0.714-0.199i | Offset X/Y: -0.90/-1.29 | Zoom: 1.20
Layer 3 -> c: -0.776+0.294i | Offset X/Y: -1.24/0.92 | Zoom: 0.68
Layer 4 -> c: 0.013+0.431i | Offset X/Y: -0.62/-0.07 | Zoom: 0.39
Layer 5 -> c: -0.982-0.406i | Offset X/Y: -0.72/1.64 | Zoom: 1.14
Layer 6 -> c: -0.254-0.984i | Offset X/Y: -2.69/-0.09 | Zoom: 0.17
Layer 7 -> c: -0.193-1.000i | Offset X/Y: 0.85/-0.24 | Zoom: 0.84
Layer 8 -> c: -0.394-0.780i | Offset X/Y: 1.09/-0.77 | Zoom: 0.49

Generation 28 | MSE: 2116.57 | Genotype: 
Layer 1 -> c: -0.575-0.831i | Offset X/Y: -1.37/0.74 | Zoom: 1.71
Layer 2 -> c: -0.714-0.199i | Offset X/Y: -0.90/-1.29 | Zoom: 1.20
Layer 3 -> c: -0.776+0.294i | Offset X/Y: -1.24/0.92 | Zoom: 0.68
Layer 4 -> c: 0.013+0.431i | Offset X/Y: -0.62/-0.07 | Zoom: 0.39
Layer 5 -> c: -0.982-0.406i | Offset X/Y: -0.72/1.64 | Zoom: 1.14
Layer 6 -> c: -0.254-0.984i | Offset X/Y: -2.69/-0.09 | Zoom: 0.17
Layer 7 -> c: -0.193-1.000i | Offset X/Y: 0.85/-0.24 | Zoom: 0.84
Layer 8 -> c: -0.394-0.780i | Offset X/Y: 1.09/-0.77 | Zoom: 0.49

Generation 29 | MSE: 2105.75 | Genotype: 
Layer 1 -> c: 0.686-0.684i | Offset X/Y: -1.99/1.59 | Zoom: 0.28
Layer 2 -> c: 0.241-0.442i | Offset X/Y: 1.54/-0.85 | Zoom: 0.34
Layer 3 -> c: -1.000-0.811i | Offset X/Y: -1.23/2.07 | Zoom: 0.86
Layer 4 -> c: -1.000-0.539i | Offset X/Y: -0.23/0.28 | Zoom: 0.10
Layer 5 -> c: -0.458+0.813i | Offset X/Y: 0.04/0.17 | Zoom: 1.53
Layer 6 -> c: 0.440+0.313i | Offset X/Y: -2.47/-0.83 | Zoom: 0.16
Layer 7 -> c: -0.168+0.635i | Offset X/Y: -0.55/-2.70 | Zoom: 0.10
Layer 8 -> c: -0.393-0.086i | Offset X/Y: -2.07/-1.99 | Zoom: 0.11

Generation 30 | MSE: 2105.75 | Genotype: 
Layer 1 -> c: 0.686-0.684i | Offset X/Y: -1.99/1.59 | Zoom: 0.28
Layer 2 -> c: 0.241-0.442i | Offset X/Y: 1.54/-0.85 | Zoom: 0.34
Layer 3 -> c: -1.000-0.811i | Offset X/Y: -1.23/2.07 | Zoom: 0.86
Layer 4 -> c: -1.000-0.539i | Offset X/Y: -0.23/0.28 | Zoom: 0.10
Layer 5 -> c: -0.458+0.813i | Offset X/Y: 0.04/0.17 | Zoom: 1.53
