Target Image: blackhole
Final Best MSE: 643.20
--------------------------------
Evolutionary History for blackhole
=========================================
Generation 0 | MSE: 5807.06 | Genotype: 
Layer 6 -> c: -0.389-1.000i | Offset X/Y: 1.03/-0.10 | Zoom: 0.49

Generation 24 | MSE: 1360.48 | Genotype: 
Layer 1 -> c: 0.337+0.297i | Offset X/Y: -0.33/1.96 | Zoom: 0.17
Layer 2 -> c: 0.213+0.079i | Offset X/Y: -0.11/-0.20 | Zoom: 0.53
Layer 3 -> c: -0.719-0.243i | Offset X/Y: 0.54/0.26 | Zoom: 0.10
Layer 4 -> c: -0.257+0.890i | Offset X/Y: -0.20/-0.55 | Zoom: 0.10
Layer 5 -> c: -0.588+0.522i | Offset X/Y: -0.49/-0.35 | Zoom: 0.10
Layer 6 -> c: -0.389-1.000i | Offset X/Y: 1.03/-0.10 | Zoom: 0.49

Generation 25 | MSE: 1360.48 | Genotype: 
Layer 1 -> c: 0.337+0.297i | Offset X/Y: -0.33/1.96 | Zoom: 0.17
Layer 2 -> c: 0.213+0.079i | Offset X/Y: -0.11/-0.20 | Zoom: 0.53
Layer 3 -> c: -0.719-0.243i | Offset X/Y: 0.54/0.26 | Zoom: 0.10
Layer 4 -> c: -0.257+0.890i | Offset X/Y: -0.20/-0.55 | Zoom: 0.10
Layer 5 -> c: -0.588+0.522i | Offset X/Y: -0.49/-0.35 | Zoom: 0.10
Layer 6 -> c: -0.389-1.000i | Offset X/Y: 1.03/-0.10 | Zoom: 0.49

Generation 26 | MSE: 1360.48 | Genotype: 
Layer 1 -> c: 0.337+0.297i | Offset X/Y: -0.33/1.96 | Zoom: 0.17
Layer 2 -> c: 0.213+0.079i | Offset X/Y: -0.11/-0.20 | Zoom: 0.53
Layer 3 -> c: -0.719-0.243i | Offset X/Y: 0.54/0.26 | Zoom: 0.10
Layer 4 -> c: -0.257+0.890i | Offset X/Y: -0.20/-0.55 | Zoom: 0.10
Layer 5 -> c: -0.588+0.522i | Offset X/Y: -0.49/-0.35 | Zoom: 0.10
Layer 6 -> c: -0.389-1.000i | Offset X/Y: 1.03/-0.10 | Zoom: 0.49

Generation 27 | MSE: 1289.60 | Genotype: 
Layer 1 -> c: -0.783-0.413i | Offset X/Y: -0.41/1.52 | Zoom: 0.10
Layer 2 -> c: -0.129+0.037i | Offset X/Y: -0.15/0.39 | Zoom: 0.35
Layer 3 -> c: -0.074+0.028i | Offset X/Y: -0.45/0.13 | Zoom: 0.62
Layer 4 -> c: -1.000+1.000i | Offset X/Y: 0.07/-0.18 | Zoom: 0.10
Layer 5 -> c: -0.623+0.357i | Offset X/Y: 0.26/0.69 | Zoom: 0.10
Layer 6 -> c: -0.994-0.543i | Offset X/Y: 1.48/-0.46 | Zoom: 0.33

Generation 28 | MSE: 1289.60 | Genotype: 
Layer 1 -> c: -0.783-0.413i | Offset X/Y: -0.41/1.52 | Zoom: 0.10
