Target Image: helix_nebula
Final Best MSE: 338.06
--------------------------------
Evolutionary History for helix_nebula
=========================================
Generation 0 | MSE: 3269.90 | Genotype: 
Layer 6 -> c: -0.248-1.000i | Offset X/Y: -0.86/0.24 | Zoom: 0.41

Generation 24 | MSE: 766.36 | Genotype: 
Layer 1 -> c: -0.667+0.154i | Offset X/Y: 0.11/-0.07 | Zoom: 0.37
Layer 2 -> c: -1.000+0.268i | Offset X/Y: 0.64/-0.24 | Zoom: 0.10
Layer 3 -> c: -1.000-0.484i | Offset X/Y: 0.74/-0.30 | Zoom: 0.65
Layer 4 -> c: 0.327+0.937i | Offset X/Y: -0.62/-0.29 | Zoom: 0.55
Layer 5 -> c: -0.004-0.173i | Offset X/Y: -0.49/0.26 | Zoom: 0.51
Layer 6 -> c: -0.248-1.000i | Offset X/Y: -0.86/0.24 | Zoom: 0.41

Generation 25 | MSE: 766.36 | Genotype: 
Layer 1 -> c: -0.667+0.154i | Offset X/Y: 0.11/-0.07 | Zoom: 0.37
Layer 2 -> c: -1.000+0.268i | Offset X/Y: 0.64/-0.24 | Zoom: 0.10
Layer 3 -> c: -1.000-0.484i | Offset X/Y: 0.74/-0.30 | Zoom: 0.65
Layer 4 -> c: 0.327+0.937i | Offset X/Y: -0.62/-0.29 | Zoom: 0.55
Layer 5 -> c: -0.004-0.173i | Offset X/Y: -0.49/0.26 | Zoom: 0.51
Layer 6 -> c: -0.248-1.000i | Offset X/Y: -0.86/0.24 | Zoom: 0.41

Generation 26 | MSE: 746.36 | Genotype: 
Layer 1 -> c: -1.000+0.503i | Offset X/Y: -0.22/0.64 | Zoom: 0.10
Layer 2 -> c: -0.187-0.450i | Offset X/Y: -0.26/0.18 | Zoom: 0.13
Layer 3 -> c: -0.650+0.628i | Offset X/Y: -0.15/-0.24 | Zoom: 0.61
Layer 4 -> c: 0.181+0.745i | Offset X/Y: 0.38/-0.11 | Zoom: 0.87
Layer 5 -> c: 0.525-0.005i | Offset X/Y: -0.73/0.17 | Zoom: 0.47
Layer 6 -> c: -0.169+0.146i | Offset X/Y: -0.21/0.04 | Zoom: 0.34

Generation 27 | MSE: 723.79 | Genotype: 
Layer 1 -> c: 0.221-1.000i | Offset X/Y: 0.23/-0.08 | Zoom: 0.51
Layer 2 -> c: -0.564+0.112i | Offset X/Y: -0.08/-0.07 | Zoom: 0.44
Layer 3 -> c: -0.365+0.676i | Offset X/Y: 0.85/-0.35 | Zoom: 0.34
Layer 4 -> c: -0.754+0.877i | Offset X/Y: -0.18/-0.19 | Zoom: 0.79
Layer 5 -> c: 0.621-0.375i | Offset X/Y: -0.18/-0.23 | Zoom: 0.40
Layer 6 -> c: 0.229-0.167i | Offset X/Y: -0.32/-0.40 | Zoom: 0.10

Generation 28 | MSE: 723.79 | Genotype: 
Layer 1 -> c: 0.221-1.000i | Offset X/Y: 0.23/-0.08 | Zoom: 0.51
